order_id,customer_id,region,order_date,product_category,amount,quantity,status
ORD-00001,7924,East,2024-01-04,Food,274.75,3,completed
ORD-00002,6635,East,19/02/2024,Electronics,478.82,8,completed
ORD-00003,6925,South,May 30 2024,Electronics,66.79,1,returned
ORD-00004,7227,East,2024-04-29,Home,117.81,6,completed
ORD-00005,2169,South,Dec 15 2024,Sports,188.24,4,completed
ORD-00006,4598,East,Dec 18 2024,Electronics,233.82,4,completed
ORD-00007,6155,South,Oct 17 2024,Home,403.5,7,returned
ORD-00008,5304,West,Oct 14 2024,Sports,232.13,7,completed
ORD-00009,2796,South,2024-02-16,Clothing,113.56,7,completed
ORD-00010,1188,North,27/09/2024,Sports,36.45,5,pending
ORD-00011,5315,South,2024-08-20,Sports,322.28,2,returned
ORD-00012,3646,North,19/03/2024,Sports,152.73,6,completed
ORD-00013,1949,South,2024-06-06,Sports,14.64,2,completed
ORD-00014,3103,West,2024-09-29,Sports,367.29,3,completed
ORD-00015,4295,East,Oct 03 2024,Home,266.2,6,completed
ORD-00016,1344,South,02/02/2024,Sports,450.31,4,completed
ORD-00217,2160,South,17/01/2024,Food,40.14,8,completed
ORD-00018,4981,West,22/10/2024,Home,271.92,4,completed
ORD-00019,1887,North,Aug 27 2024,Electronics,52.98,7,returned
ORD-00020,8350,South,Apr 07 2024,Home,172.95,3,completed
ORD-00021,1828,North,2024-10-08,Electronics,234.0,4,completed
ORD-00022,7209,North,2024-01-31,Home,206.17,5,completed
ORD-00023,8973,South,Oct 11 2024,Clothing,146.2,5,completed
ORD-00024,1821,West,2024-06-09,Sports,484.51,9,completed
ORD-00025,2113,South,Feb 05 2024,Home,33.16,2,completed
ORD-00026,9565,East,Aug 02 2024,Food,126.88,4,returned
ORD-00027,5915,West,Dec 09 2024,Food,359.51,2,completed
ORD-00028,4492,East,Feb 07 2024,Clothing,231.85,6,completed
ORD-00029,5956,North,Oct 05 2024,Sports,440.24,5,returned
ORD-00030,3546,East,Feb 24 2024,Food,56.28,10,completed
ORD-00031,9004,East,May 15 2024,Electronics,360.22,2,returned
ORD-00032,3647,West,22/11/2024,Sports,-155.37,7,completed
ORD-00033,1590,East,Mar 17 2024,Sports,9.79,9,completed
ORD-00034,6862,South,2024-07-05,Clothing,,2,completed
ORD-00035,3532,South,Nov 13 2024,Clothing,391.16,3,completed
ORD-00036,5065,East,Jul 29 2024,Clothing,17.27,2,completed
ORD-00037,6000,South,23/08/2024,Clothing,436.72,1,returned
ORD-00038,9346,West,22/05/2024,Sports,100.6,6,completed
ORD-00039,2776,West,2024-05-15,Food,62.09,6,completed
ORD-00040,5173,North,2024-10-22,Home,305.07,1,completed
ORD-00041,6967,West,2024-12-09,Electronics,463.16,6,completed
ORD-00042,6067,West,Jun 02 2024,Food,160.39,7,returned
ORD-00043,3851,East,Jul 13 2024,Home,151.35,9,completed
ORD-00044,6279,West,Nov 06 2024,Home,155.42,8,returned
ORD-00045,2389,East,Mar 27 2024,Sports,110.78,10,completed
ORD-00046,4262,South,2024-06-07,Electronics,51.23,1,completed
ORD-00047,4185,West,21/08/2024,Home,492.05,7,completed
ORD-00016,4585,South,24/02/2024,Sports,78.05,8,completed
ORD-00049,9702,East,09/03/2024,Home,280.92,10,returned
ORD-00050,8777,West,2024-08-16,Food,446.55,4,returned
ORD-00051,8206,North,02/05/2024,Food,142.27,4,completed
ORD-00052,7275,South,2024-03-18,Clothing,171.24,2,completed
ORD-00378,7381,North,15/04/2024,Sports,206.76,7,completed
ORD-00054,9947,South,Aug 02 2024,Home,7.92,4,completed
ORD-00055,7624,South,Jun 21 2024,Home,,3,completed
ORD-00056,2375,West,2024-12-05,Clothing,269.39,8,completed
ORD-00057,7211,East,16/06/2024,Home,29.89,5,completed
ORD-00328,2124,North,2024-06-28,Electronics,237.8,4,completed
ORD-00059,2874,South,Aug 30 2024,Home,420.42,5,pending
ORD-00060,6096,North,2024-02-28,Sports,187.6,1,completed
ORD-00061,4978,North,2024-04-11,Food,290.02,10,completed
ORD-00062,7071,North,29/09/2024,Sports,399.13,6,completed
ORD-00063,8532,South,Jul 04 2024,Home,425.54,3,returned
ORD-00064,8616,West,02/10/2024,Sports,263.26,5,completed
ORD-00065,8613,West,2024-08-18,Food,426.6,1,completed
ORD-00066,5581,East,12/05/2024,Sports,426.22,1,completed
ORD-00067,4937,West,Sep 07 2024,Home,474.29,8,completed
ORD-00068,7046,West,Jun 05 2024,Sports,51.06,9,completed
ORD-00069,5438,East,25/12/2024,Food,215.62,4,completed
ORD-00070,4138,South,2024-12-19,Home,362.04,5,returned
ORD-00071,5853,South,2024-02-21,Food,296.85,3,completed
ORD-00115,5786,South,Jan 28 2024,Home,12.0,2,completed
ORD-00073,5136,West,2024-04-04,Electronics,289.16,2,completed
ORD-00074,5978,North,2024-03-18,Clothing,248.41,2,completed
ORD-00075,7232,West,Apr 25 2024,Home,383.4,5,completed
ORD-00076,2625,South,Nov 08 2024,Clothing,495.07,5,returned
ORD-00077,7693,West,2024-03-21,Sports,45.19,8,completed
ORD-00078,4824,East,2024-08-20,Sports,21.16,4,completed
ORD-00079,2169,North,2024-05-16,Clothing,61.81,5,completed
ORD-00080,5982,West,04/03/2024,Food,375.73,9,completed
ORD-00081,6280,East,Aug 09 2024,Electronics,249.43,2,completed
ORD-00082,5415,North,Jan 11 2024,Clothing,481.15,8,completed
ORD-00083,9056,North,26/10/2024,Home,327.5,6,completed
ORD-00084,9117,East,17/06/2024,Home,169.99,9,completed
ORD-00085,1018,West,Jul 25 2024,Home,230.14,1,completed
ORD-00086,4335,East,2024-08-14,Sports,261.63,3,completed
ORD-00087,4920,South,Nov 18 2024,Food,221.87,9,completed
ORD-00088,2924,South,28/02/2024,Home,278.36,5,completed
ORD-00089,8483,South,2024-08-29,Home,354.18,4,completed
ORD-00090,6568,East,21/05/2024,Electronics,256.58,5,returned
ORD-00091,8316,West,2024-09-07,Food,152.79,6,completed
ORD-00092,4912,West,Apr 06 2024,Clothing,382.62,7,completed
ORD-00093,3492,West,14/07/2024,Electronics,162.5,3,completed
ORD-00094,9617,West,2024-08-13,Electronics,482.85,3,completed
ORD-00095,7512,North,15/05/2024,Food,436.11,9,completed
ORD-00096,1588,North,Sep 06 2024,Clothing,477.3,5,completed
ORD-00097,2646,West,Nov 20 2024,Clothing,374.65,5,completed
ORD-00098,3385,South,10/07/2024,Sports,27.77,7,completed
ORD-00099,4945,West,08/11/2024,Sports,342.49,3,completed
ORD-00100,5712,South,05/01/2024,Electronics,233.27,8,completed
ORD-00101,8484,East,19/12/2024,Clothing,493.89,7,completed
ORD-00102,5837,North,May 31 2024,Home,57.79,5,completed
ORD-00103,9138,East,Jan 26 2024,Clothing,285.13,10,completed
ORD-00104,3240,North,Dec 03 2024,Electronics,113.41,5,completed
ORD-00105,7807,South,31/05/2024,Clothing,21.52,3,completed
ORD-00106,5210,West,2024-05-19,Food,438.85,6,completed
ORD-00107,7511,East,Apr 25 2024,Electronics,236.82,7,completed
ORD-00108,7242,East,10/12/2024,Electronics,135.91,4,completed
ORD-00109,2035,West,2024-11-08,Food,17.39,7,completed
ORD-00110,2592,South,2024-09-09,Sports,74.19,3,completed
ORD-00111,3531,West,03/10/2024,Electronics,229.55,8,completed
ORD-00112,8264,West,2024-07-08,Clothing,207.02,6,completed
ORD-00113,1992,West,26/11/2024,Food,490.56,4,completed
ORD-00114,1349,North,Apr 18 2024,Food,474.76,4,completed
ORD-00115,4538,South,2024-10-10,Food,394.55,3,completed
ORD-00116,5106,South,Mar 07 2024,Electronics,6.4,1,completed
ORD-00117,3854,East,2024-06-14,Electronics,12.36,3,returned
ORD-00118,9408,North,17/08/2024,Home,213.38,9,completed
ORD-00119,5941,West,Dec 03 2024,Electronics,,1,completed
ORD-00112,2204,North,30/12/2024,Food,424.41,10,completed
ORD-00121,6327,West,Oct 07 2024,Sports,37.51,9,completed
ORD-00122,4522,West,2024-12-25,Home,229.59,4,completed
ORD-00123,7992,East,18/02/2024,Food,172.77,6,completed
ORD-00124,8075,North,2024-02-13,Food,344.98,3,completed
ORD-00125,7730,East,2024-12-09,Home,34.69,1,completed
ORD-00141,8900,South,2024-04-18,Electronics,302.2,6,completed
