Rank,Story ID,Story (short),Reach,Impact,Confidence (%),Effort (person-weeks),RICE Score,Rationale
1,S7,Reserve despite Uncertain verdict,3000,2,100,1,6000,"Table-stakes guardrail: blocking a shopper from reserving after an Uncertain verdict would destroy trust; near-zero effort because non-blocking is the default UX — this is the absence of a bad feature, not a new one."
2,S5,Size/colour-specific verdict,8000,4,80,5,5120,"Without size/colour granularity the verdict is too coarse to act on — affects almost all product queries; model is already designed at SKU+size level so incremental effort is low relative to impact."
3,S1,Availability verdict display,10000,5,80,8,5000,"Core user-facing output that every other story depends on; highest absolute impact but higher effort than S7/S5 because it requires full signal-API integration and UI build."
4,S8,Mobile-optimised verdict,8000,2,80,3,4267,"Most shoppers browse on mobile; a verdict that is hard to read on a small screen negates the AI work behind it; low effort because it is a UI and copy concern, not a backend change."
5,S6,Data freshness indicator,5000,2,50,2,2500,"Transparency about signal age could build trust with sceptical shoppers; confidence is low — no user research confirms shoppers notice or act on freshness cues vs. just reading the verdict."
6,S3,Nearest alternative store,3000,4,80,5,1920,"Key differentiator vs. all three competitors; converts an Uncertain verdict from a dead end into a completed journey; lower reach because it only fires on Uncertain verdicts (~30% of checks)."
7,S2,Multi-signal confidence scorer (AI),10000,5,50,21,1190,"The engine that makes S1/S3/S5 trustworthy; low RICE because effort is very high (5 signal integrations + ML model) and confidence is 50% until signal data quality is validated in a pilot store."
8,S4,Degraded mode,1000,3,100,3,1000,"Required reliability floor; reach is lower because degraded mode fires only on signal failure; must ship with the feature regardless of RICE rank — it is a launch gate, not an optional story."
9,S9,Auditability for ops manager,50,3,50,8,9,"Essential for long-term model accuracy but reach is tiny (store managers only); implement post-launch as part of an ops tooling track."
10,S10,Analytics by verdict type,10,4,80,5,6,"Critical for measuring feature success; reach of direct users (product analysts) is tiny; deliver as part of the data/BI track in parallel with feature launch, not gating it."
