#,Element,Category,Threat,Likelihood (L/M/H),L rationale,Impact (L/M/H),I rationale,Severity,Notes
T01,Cart Service (process),LLM01 — Prompt Injection,A user pastes override instructions into a cart item name; cart contents are inserted verbatim into the prompt allowing the injected text to redirect the model.,H,No special access needed — any user can add a cart item with crafted text; well-documented vector with no special tooling required.,M,Exposes system prompt and redirects model output for one session; does not directly leak payment data or affect other users.,High,Merchant-side variant: a crafted product name injects for every customer who adds that item
T02,Cart Service (process),LLM02 — Sensitive Information Disclosure,The model includes fragments of another customer's cart in the summary response due to context bleed between requests.,L,Requires a session-isolation implementation bug rather than deliberate attacker input; not trivially exploitable.,H,Any cross-customer cart exposure is a GDPR breach; at 3M calls/month even a 0.001% rate is 3000 exposures/month.,Medium,Amplified by call volume — low per-call probability × high frequency = material expected exposure
T03,Cart Service (process),LLM07 — System Prompt Leakage,An attacker uses a successful T01 injection to extract the full system prompt exposing business logic and constraints.,M,Chained attack — requires T01 to succeed first; reduces standalone likelihood.,L,Leaked system prompt enables more targeted future injections but does not directly expose customer data.,Low,Secondary consequence of T01; mitigating T01 reduces this threat
T04,Cart Service (process),LLM09 — Misinformation,The model generates a cart summary with fabricated prices or quantities causing the customer to confirm an incorrect order.,M,Hallucination rates for structured data are non-trivial without a ground-truth validation step against the Orders DB.,L,The summary is informational — actual checkout price is sourced from the Orders DB; misinformation causes confusion and trust erosion but not direct incorrect charges.,Low,No output validation against Orders DB is the enabling gap; impact bounded because the checkout step uses DB data not AI output
T05,Orders DB (data store),Classical — SQL Injection,An attacker sends a crafted payload that is not sanitised before being assembled into a SQL query allowing read or modification of order records.,M,Cart input fields are plausible injection points and free tooling (sqlmap) is available; ORMs reduce but do not eliminate risk.,H,Full read/write access to the Orders DB across all customers — mass PII extraction or data destruction is possible.,High,Orders DB holds all customer data across 22 countries; exploit tooling freely available
T06,Cart Service (process),Classical — BOLA,A user accesses another customer's cart summary by manipulating the cart ID because the API does not verify ownership.,H,BOLA requires only changing an ID in a request — most common API vulnerability (OWASP API1:2023); no special tooling needed.,H,Each successful request is a separate GDPR-notifiable breach exposing full cart contents and linked PII.,Critical,"TOP CRITICAL RISK — Blast radius: ~6,000 carts/minute enumerable at 100 req/s bot rate; each cart = name + email + delivery address + full item list; 22 GDPR jurisdictions; notification obligation per breach"
T07,CI/CD pipeline (data flow),Classical — Secret Leakage,The DIAL or Stripe API key is committed to the repository or exposed in build logs giving an attacker ability to make model calls or initiate charges.,M,CI/CD logs are accessible to all repo contributors and no secret-scan step exists in the pipeline (K 8.W.3 gap).,H,Leaked Stripe key enables unauthorised charges and refunds; leaked DIAL key enables unbounded model calls at Meridian's expense.,High,Two separate critical assets at risk from one pipeline gap; Stripe key exposure is a PCI DSS incident
T08,Shopper / bot (external entity),Classical — DoS (cost amplification),A bot or loop bug fires the /summarise endpoint at high rate exhausting the DIAL AI meter and blocking legitimate users.,H,No rate limit or retry cap on /summarise (K 8.W.3 Gap 2); unauthenticated endpoint; a loop requires no access.,H,Exhausting the $18k DIAL hard cap blocks all AI calls for the Checkout tenant and can incur the full cap cost within hours.,Critical,Financial DoS — exhausting the cost cap is as damaging as a traffic-based DoS for AI-metered features
T09,cart-to-DIAL data flow,Classical — MitM / TLS interception,An attacker on the internal network intercepts the cart-to-DIAL data flow and reads the prompt payload containing customer PII.,L,Requires attacker position on the internal network or a misconfigured proxy — not exploitable from outside.,M,Full prompt payload (cart contents + PII) exposed in transit for every intercepted call.,Low,Risk at the tb_app → tb_ai trust boundary; TLS enforcement is the primary control
T10,Stripe (external entity),Classical — Broken Authentication,A forged Stripe webhook is accepted without signature verification marking an unpaid order as confirmed.,M,Stripe HMAC webhook forgery is publicly documented; depends on whether signature verification is implemented.,H,A forged webhook dispatches goods without payment; revenue loss scales with automation.,High,Standard control (HMAC-SHA256 on Stripe-Signature header) is known; absence is a deployment gap
T11,K8s Secret (data store),Classical — Insecure Secrets Storage,Any principal with kubectl get secret in the meridian namespace can read the payment-provider API key.,M,Default K8s RBAC often grants namespace access to platform engineers; no secrets manager in place (K 8.W.2 Gap 3).,M,Stripe key extraction has same impact as T07 — unauthorised charges and refunds against customer accounts.,Medium,Mitigation is a secrets manager with short-lived credentials
T12,Cart Service (process),Classical — Repudiation,There is no tamper-evident audit log of what cart contents were sent to the model and what summary was returned.,H,Absence of a control — the gap is near-certainly present with no audit log specified for the AI summarise step.,M,Blocks dispute resolution for wrong summaries and regulatory explainability under GDPR Art. 22; complicates incident investigation.,High,Only STRIDE-R threat in the list; absence of logging is a design gap that must be closed before launch
